sort name,data type,size,time
Merge Sort,Almost sorted,50,0.000019
Quick Sort,Almost sorted,50,0.000002
Bubble Sort,Almost sorted,50,0.000002
Insertion Sort,Almost sorted,50,0.000000
Selection Sort,Almost sorted,50,0.000002
Heap Sort,Almost sorted,50,0.000002
Radix Sort,Almost sorted,50,0.000003
Merge Sort,Almost sorted,100,0.000017
Quick Sort,Almost sorted,100,0.000003
Bubble Sort,Almost sorted,100,0.000005
Insertion Sort,Almost sorted,100,0.000001
Selection Sort,Almost sorted,100,0.000004
Heap Sort,Almost sorted,100,0.000004
Radix Sort,Almost sorted,100,0.000004
Merge Sort,Almost sorted,500,0.000104
Quick Sort,Almost sorted,500,0.000059
Bubble Sort,Almost sorted,500,0.000111
Insertion Sort,Almost sorted,500,0.000003
Selection Sort,Almost sorted,500,0.000068
Heap Sort,Almost sorted,500,0.000021
Radix Sort,Almost sorted,500,0.000027
Merge Sort,Almost sorted,1000,0.000184
Quick Sort,Almost sorted,1000,0.000222
Bubble Sort,Almost sorted,1000,0.000673
Insertion Sort,Almost sorted,1000,0.000008
Selection Sort,Almost sorted,1000,0.000460
Heap Sort,Almost sorted,1000,0.000054
Radix Sort,Almost sorted,1000,0.000059
Merge Sort,Almost sorted,5000,0.000698
Quick Sort,Almost sorted,5000,0.003822
Bubble Sort,Almost sorted,5000,0.013662
Insertion Sort,Almost sorted,5000,0.000039
Selection Sort,Almost sorted,5000,0.010019
Heap Sort,Almost sorted,5000,0.000266
Radix Sort,Almost sorted,5000,0.000341
Merge Sort,Almost sorted,10000,0.001612
Quick Sort,Almost sorted,10000,0.016931
Bubble Sort,Almost sorted,10000,0.045910
Insertion Sort,Almost sorted,10000,0.000072
Selection Sort,Almost sorted,10000,0.028884
Heap Sort,Almost sorted,10000,0.000547
Radix Sort,Almost sorted,10000,0.000866
Merge Sort,Almost sorted,50000,0.007373
Quick Sort,Almost sorted,50000,0.417657
Bubble Sort,Almost sorted,50000,1.189909
Insertion Sort,Almost sorted,50000,0.000377
Selection Sort,Almost sorted,50000,0.874597
Heap Sort,Almost sorted,50000,0.003017
Radix Sort,Almost sorted,50000,0.004421
